symbol	score	entrez
ABCA10	4.0	10349.0
ABCA13	4.0	154664.0
ADCY5	4.0	111.0
AGBL4	4.0	84871.0
AGMO	4.0	392636.0
AMPD1	3.0	270.0
ARID1B	1.0	57492.0
ADORA2A	4.0	135.0
ANKS1B	4.0	56899.0
ASXL3	1.0	80816.0
ATP1A3	4.0	478.0
AZGP1	4.0	563.0
C4B	4.0	721.0
BCAS1	4.0	8537.0
CACNA2D3	2.0	55799.0
CAPN12	4.0	147968.0
CDH9	4.0	1007.0
CECR2	4.0	27443.0
CELF4	3.0	56853.0
CELF6	4.0	60677.0
CDH13	3.0	1012.0
CHRM3	4.0	1131.0
CLTCL1	4.0	8218.0
CNTN4	2.0	152330.0
CNTN5	3.0	53942.0
CNTN6	3.0	27255.0
CNTNAP4	3.0	85445.0
CNTNAP5	4.0	129684.0
COL28A1	4.0	340267.0
CSMD1	4.0	64478.0
CADM2	4.0	253559.0
CDH22	4.0	64405.0
CUX2	4.0	23316.0
CX3CR1	4.0	1524.0
CYP11B1	4.0	1584.0
DAGLA	4.0	747.0
DDX53	4.0	168400.0
DNAH10	4.0	196385.0
DLX3	3.0	1747.0
DPP10	3.0	57628.0
DYDC1	4.0	143241.0
DYDC2	4.0	84332.0
EN2	4.0	2020.0
ERG	4.0	2078.0
ERMN	4.0	57471.0
EXOC6B	4.0	23233.0
FAM47A	4.0	158724.0
FAM92B	3.0	339145.0
FCRL6	4.0	343413.0
FOXP2	3.0	93986.0
FRK	4.0	2444.0
GALNT13	4.0	114805.0
GALNT14	4.0	79623.0
GDA	4.0	9615.0
GLIS1	4.0	148979.0
GLRA2	4.0	2742.0
GPR85	4.0	54329.0
GRIK4	4.0	2900.0
GUCY1A2	4.0	2977.0
HIVEP3	3.0	59269.0
HS3ST5	4.0	222537.0
HTR3C	4.0	170572.0
IMMP2L	4.0	83943.0
IQGAP3	4.0	128239.0
KATNAL2	1.0	83473.0
KCND2	4.0	3751.0
KCNK7	4.0	10089.0
KIRREL3	3.0	84623.0
KRT26	4.0	353288.0
LEP	4.0	3952.0
LRFN5	4.0	145581.0
MACROD2	2.0	140733.0
LRRC4	4.0	64101.0
MEGF10	4.0	84466.0
MEGF11	4.0	84465.0
MUC12	4.0	10071.0
MYH4	4.0	4622.0
NEXMIF	3.0	340533.0
NLGN4X	3.0	57502.0
NAALADL2	4.0	254827.0
NLGN4Y	4.0	22829.0
NXPH1	4.0	30010.0
ODF3L2	4.0	284451.0
OPHN1	3.0	4983.0
OR1C1	4.0	26188.0
OR2M4	4.0	26245.0
OR2T10	4.0	127069.0
OR52M1	3.0	119772.0
OTUD7A	3.0	161725.0
OTX1	4.0	5013.0
OXTR	3.0	5021.0
PAH	3.0	5053.0
PCDH10	4.0	57575.0
PCDH15	4.0	65217.0
PCDHA1	4.0	56147.0
PCDHA11	4.0	56138.0
PCDHA12	4.0	56137.0
PCDHA13	4.0	56136.0
PCDHA4	4.0	56144.0
PCDHA5	4.0	56143.0
PCDHA6	4.0	56142.0
PCDHA7	4.0	56141.0
PCDHA8	4.0	56140.0
PLN	4.0	5350.0
PLXNA4	3.0	91584.0
PRKCB	3.0	5579.0
PRODH	3.0	5625.0
PTCHD1	2.0	139411.0
RAD21L1	4.0	642636.0
RAPGEF4	4.0	11069.0
PCDHAC2	4.0	56134.0
PIK3CG	4.0	5294.0
PPP1R1B	4.0	84152.0
RHOXF1	4.0	158800.0
RIT2	4.0	6014.0
ROBO2	3.0	6092.0
SCN1A	3.0	6323.0
SCN9A	2.0	6335.0
SLC22A9	4.0	114571.0
SLC4A10	4.0	57282.0
SLC7A3	3.0	84889.0
SLCO1B3	4.0	28234.0
SPP2	4.0	6694.0
SSPO	4.0	23145.0
STYK1	4.0	55359.0
TERB2	4.0	145645.0
TPO	4.0	7173.0
TTC25	4.0	83538.0
TSPOAP1	4.0	9256.0
UNC79	3.0	57578.0
UNC80	4.0	285175.0
USH2A	4.0	7399.0
WDFY4	3.0	57705.0
ZBTB16	4.0	7704.0
ZNF517	4.0	340385.0
ZNF626	4.0	199777.0
ZNF774	4.0	342132.0
ZNF804A	3.0	91752.0
