symbol	score	entrez
ACHE	3.0	43.0
AFF2	4.0	2334.0
AGTR2	4.0	186.0
AHDC1	3.0	27245.0
ADORA2A	4.0	135.0
ANKS1B	4.0	56899.0
ASXL3	1.0	80816.0
ATP10A	3.0	57194.0
ATP1A3	4.0	478.0
AVPR1B	4.0	553.0
AZGP1	4.0	563.0
BCAS1	4.0	8537.0
CACNA1E	3.0	777.0
CACNA1G	4.0	8913.0
CDH10	4.0	1008.0
CDH8	4.0	1006.0
CDH9	4.0	1007.0
CECR2	4.0	27443.0
CDH13	3.0	1012.0
CHRM3	4.0	1131.0
CIB2	3.0	10518.0
CNKSR2	3.0	22866.0
CNR1	3.0	1268.0
CNTN4	2.0	152330.0
CNTN5	3.0	53942.0
CNTNAP5	4.0	129684.0
CSMD1	4.0	64478.0
CTNNA3	4.0	29119.0
CADM2	4.0	253559.0
CNTN3	4.0	5067.0
DLGAP1	3.0	9229.0
DLGAP2	4.0	9228.0
DLX6	4.0	1750.0
DNAH10	4.0	196385.0
DNAH17	4.0	8632.0
DLX3	3.0	1747.0
DPP10	3.0	57628.0
DRD2	4.0	1813.0
DSCAM	1.0	1826.0
DUSP15	4.0	128853.0
DYDC2	4.0	84332.0
EN2	4.0	2020.0
ERMN	4.0	57471.0
ESR2	4.0	2100.0
FGA	4.0	2243.0
FHIT	4.0	2272.0
ELOVL2	4.0	54898.0
GABBR2	4.0	9568.0
GABRA4	4.0	2557.0
GALNT13	4.0	114805.0
GDA	4.0	9615.0
GLRA2	4.0	2742.0
GPR37	4.0	2861.0
GPR85	4.0	54329.0
GRIK5	3.0	2901.0
GRIN1	3.0	2902.0
GRIN2A	3.0	2903.0
GABRG3	3.0	2567.0
GRIK3	4.0	2899.0
GRIP1	2.0	23426.0
GRM7	4.0	2917.0
HSD11B1	4.0	3290.0
HTR3A	4.0	3359.0
IL1RAPL1	4.0	11141.0
IL1RAPL2	4.0	26280.0
KCND3	4.0	3752.0
KCNJ10	3.0	3766.0
KCNQ2	3.0	3785.0
KCNQ3	3.0	3786.0
KHDRBS2	4.0	202559.0
KCNS3	3.0	3790.0
LEP	4.0	3952.0
LRFN2	4.0	57497.0
LRFN5	4.0	145581.0
LRP2	4.0	4036.0
MAGEL2	2.0	54551.0
MARK1	4.0	4139.0
MCPH1	4.0	79648.0
LMX1B	3.0	4010.0
LRRC4	4.0	64101.0
MAOB	4.0	4129.0
MEGF10	4.0	84466.0
MEGF11	4.0	84465.0
MYO16	4.0	23026.0
NLGN1	3.0	22871.0
NEXMIF	3.0	340533.0
NLGN4X	3.0	57502.0
NRXN1	2.0	9378.0
NTNG1	4.0	22854.0
NTRK3	4.0	4916.0
NXPH1	4.0	30010.0
OXT	4.0	5020.0
P2RX5	3.0	5026.0
PARD3B	3.0	117583.0
PAX5	3.0	5079.0
PCDH10	4.0	57575.0
PCDH11X	4.0	27328.0
PCDHA10	4.0	56139.0
PCDHA5	4.0	56143.0
PLN	4.0	5350.0
PRODH	3.0	5625.0
PTCHD1	2.0	139411.0
PRKN	3.0	5071.0
PYHIN1	3.0	149628.0
RAB39B	4.0	116442.0
RAI1	3.0	10743.0
RAPGEF4	4.0	11069.0
PCDHAC1	4.0	56135.0
PDE1C	4.0	5137.0
PON1	3.0	5444.0
PPP1R1B	4.0	84152.0
PTPRT	4.0	11122.0
RELN	1.0	5649.0
RFX3	4.0	5991.0
RGS7	4.0	6000.0
RHOXF1	4.0	158800.0
RIMS1	2.0	22999.0
ROBO2	3.0	6092.0
SCN1A	3.0	6323.0
SAMD11	4.0	148398.0
SCN9A	2.0	6335.0
SLC12A5	3.0	57468.0
SLC4A10	4.0	57282.0
SNAP25	4.0	6616.0
SPP2	4.0	6694.0
STX1A	4.0	6804.0
ST8SIA2	3.0	8128.0
SYN1	4.0	6853.0
STYK1	4.0	55359.0
TBX1	4.0	6899.0
TDO2	4.0	6999.0
TMLHE	3.0	55217.0
TRPC6	3.0	7225.0
TRPM1	3.0	4308.0
TTC25	4.0	83538.0
TTN	4.0	7273.0
TSPOAP1	4.0	9256.0
UNC13A	4.0	23025.0
VIL1	3.0	7429.0
WNK3	4.0	65267.0
ZNF713	4.0	349075.0
