symbol	score	entrez
AMT	3.0	275.0
ICA1	3.0	3382.0
KIF5C	4.0	3800.0
KCNJ15	4.0	3772.0
MACROD2	2.0	140733.0
PCDHA1	4.0	56147.0
PCDHA12	4.0	56137.0
PLXNA4	3.0	91584.0
PTPRB	4.0	5787.0
PIK3CG	4.0	5294.0
SLC22A9	4.0	114571.0
SRGAP3	4.0	9901.0
TANC2	3.0	26115.0
WDFY4	3.0	57705.0
ABCA13	4.0	154664.0
ADCY5	4.0	111.0
ADORA3	4.0	140.0
AGAP1	4.0	116987.0
ANK2	1.0	287.0
ANK3	3.0	288.0
APBA2	4.0	321.0
APBB1	3.0	322.0
ARHGAP32	4.0	9743.0
ARHGEF9	4.0	23229.0
ARNT2	4.0	9915.0
ADRB2	4.0	154.0
AR	4.0	367.0
ASTN2	3.0	23245.0
BCL11A	2.0	53335.0
BST1	4.0	683.0
CACNA2D3	2.0	55799.0
CACNB2	3.0	783.0
CADPS2	4.0	93664.0
CD38	4.0	952.0
CGNL1	3.0	84952.0
CLN8	4.0	2055.0
CNTNAP2	2.0	26047.0
CTNNB1	3.0	1499.0
CTNND2	2.0	1501.0
CNTNAP3	4.0	79937.0
CX3CR1	4.0	1524.0
DAPP1	3.0	27071.0
DDC	4.0	1644.0
DISC1	3.0	27185.0
DIXDC1	4.0	85458.0
DLGAP3	4.0	58512.0
DOCK1	4.0	1793.0
DOCK8	3.0	81704.0
DPP4	4.0	1803.0
EPPK1	4.0	83481.0
ERG	4.0	2078.0
FOXP2	3.0	93986.0
GABRB3	2.0	2562.0
GALNT14	4.0	79623.0
GPC4	3.0	2239.0
GPC6	4.0	10082.0
GRIN2B	1.0	2904.0
HECW2	3.0	57520.0
HLA-DRB1	4.0	3123.0
IL1R2	4.0	7850.0
ITGB3	3.0	3690.0
KANK1	4.0	23189.0
KCNMA1	4.0	3778.0
KIF13B	4.0	23303.0
LILRB2	4.0	10288.0
MAOA	4.0	4128.0
MSR1	4.0	4481.0
MUC12	4.0	10071.0
NBEA	4.0	26960.0
NEO1	4.0	4756.0
NINL	3.0	22981.0
NR2F1	4.0	7025.0
NR3C2	3.0	4306.0
NR4A2	4.0	4929.0
NRCAM	4.0	4897.0
NEGR1	4.0	257194.0
NPAS2	4.0	4862.0
NRXN3	3.0	9369.0
PATJ	4.0	10207.0
PCDH9	4.0	5101.0
PLCB1	3.0	23236.0
PNPLA7	4.0	375775.0
PREX1	3.0	57580.0
PRICKLE2	3.0	166336.0
PRKCB	3.0	5579.0
PRUNE2	4.0	158471.0
PTK7	3.0	5754.0
PTPRC	4.0	5788.0
RIMS3	4.0	9783.0
SATB2	4.0	23314.0
SEMA5A	3.0	9037.0
SETBP1	3.0	26040.0
SHANK2	2.0	22941.0
SHANK3	1.0	85358.0
SLC1A1	4.0	6505.0
SLC7A7	4.0	9056.0
SLC9A9	4.0	285195.0
SPARCL1	3.0	8404.0
STXBP1	3.0	6812.0
SYT17	4.0	51760.0
TSPAN7	4.0	7102.0
UNC79	3.0	57578.0
VASH1	4.0	22846.0
VSIG4	4.0	11326.0
ZBTB16	4.0	7704.0
ZNF18	4.0	7566.0
ZNF462	4.0	58499.0
ADCY3	3.0	109.0
ANXA1	3.0	301.0
ARHGEF10	4.0	9639.0
ABAT	4.0	18.0
ASAP2	3.0	8853.0
AUTS2	3.0	26053.0
CADM1	4.0	23705.0
CASK	4.0	8573.0
CDH11	4.0	1009.0
CYFIP1	3.0	23191.0
DIP2C	2.0	22982.0
DOCK4	4.0	9732.0
DPYD	4.0	1806.0
DPYSL2	3.0	1808.0
DPYSL3	4.0	1809.0
DST	4.0	667.0
EPHB2	4.0	2048.0
EXT1	4.0	2131.0
FAT1	4.0	2195.0
FOXP1	2.0	27086.0
GPX1	4.0	2876.0
HLA-A	4.0	3105.0
HLA-B	4.0	3106.0
HLA-G	4.0	3135.0
INPP1	4.0	3628.0
IRF2BPL	2.0	64207.0
ITPR1	4.0	3708.0
KATNAL1	4.0	84056.0
LAMB1	3.0	3912.0
LRRC1	4.0	55227.0
MEF2C	4.0	4208.0
MET	2.0	4233.0
MYO1E	4.0	4643.0
MYO5A	3.0	4644.0
MYO5C	4.0	55930.0
NAV2	3.0	89797.0
NFIA	4.0	4774.0
NRP2	4.0	8828.0
MYH10	3.0	4628.0
NFIB	4.0	4781.0
NUAK1	3.0	9891.0
P4HA2	3.0	8974.0
PBX1	4.0	5087.0
PRICKLE1	3.0	144165.0
PSD3	4.0	23362.0
PLAUR	4.0	5329.0
PRKCA	4.0	5578.0
PTGS2	4.0	5743.0
PXDN	4.0	7837.0
RASSF5	4.0	83593.0
RNF135	4.0	84282.0
RPS6KA2	4.0	6196.0
SASH1	4.0	23328.0
SDC2	4.0	6383.0
SLC7A5	3.0	8140.0
ST7	4.0	7982.0
SYNE1	4.0	23345.0
SERPINE1	4.0	5054.0
TBC1D5	4.0	9779.0
TCF4	3.0	6925.0
TCF7L2	3.0	6934.0
THBS1	4.0	7057.0
TRIO	2.0	7204.0
TSHZ3	4.0	57616.0
WWOX	3.0	51741.0
VDR	4.0	7421.0
ZBTB20	3.0	26137.0
ZNF827	4.0	152485.0
