symbol	score	entrez
AGMO	4.0	392636.0
ARHGAP11B	4.0	89839.0
ASMT	4.0	438.0
ASXL3	1.0	80816.0
ATP2B2	3.0	491.0
CAPN12	4.0	147968.0
CCDC88C	4.0	440193.0
CDH10	4.0	1008.0
CDH9	4.0	1007.0
CELF4	3.0	56853.0
CHRNB3	4.0	1142.0
CNGB3	4.0	54714.0
CNTN5	3.0	53942.0
CNTNAP4	3.0	85445.0
CDH22	4.0	64405.0
CUX2	4.0	23316.0
CYP11B1	4.0	1584.0
CADPS	4.0	8618.0
DLGAP1	3.0	9229.0
DLGAP2	4.0	9228.0
DPP6	4.0	1804.0
DRD3	4.0	1814.0
DRD1	4.0	1812.0
FAM92B	3.0	339145.0
FBXO40	4.0	51725.0
FCRL6	4.0	343413.0
FEZF2	4.0	55079.0
GABRA4	4.0	2557.0
GLIS1	4.0	148979.0
GRID2	4.0	2895.0
GRIK2	3.0	2898.0
GRIK4	4.0	2900.0
GRIN2A	3.0	2903.0
GALNT8	3.0	3742.0
GRID2IP	4.0	392862.0
GRM5	4.0	2915.0
HECTD4	3.0	283450.0
HIVEP3	3.0	59269.0
HS3ST5	4.0	222537.0
HTR1B	4.0	3351.0
HTR3A	4.0	3359.0
HTR3C	4.0	170572.0
HYDIN	4.0	54768.0
KCNK7	4.0	10089.0
KCNC1	4.0	3746.0
MFRP	3.0	83552.0
MUC4	4.0	4585.0
MYH4	4.0	4622.0
MYO16	4.0	23026.0
MYT1L	1.0	23040.0
NCKAP5	4.0	344148.0
NEXMIF	3.0	340533.0
NLGN3	2.0	54413.0
NAALADL2	4.0	254827.0
OR2M4	4.0	26245.0
OR2T10	4.0	127069.0
OR52M1	3.0	119772.0
PCDH15	4.0	65217.0
PCDHA1	4.0	56147.0
PCDHA11	4.0	56138.0
PCDHA12	4.0	56137.0
PCDHA13	4.0	56136.0
PCDHA2	4.0	56146.0
PCDHA4	4.0	56144.0
PCDHA6	4.0	56142.0
PCDHA7	4.0	56141.0
PCDHA8	4.0	56140.0
PDCD1	4.0	5133.0
PLXNA4	3.0	91584.0
RAD21L1	4.0	642636.0
RBFOX1	3.0	54715.0
PCDHAC2	4.0	56134.0
PDE1C	4.0	5137.0
PIK3CG	4.0	5294.0
ROBO2	3.0	6092.0
SCN8A	3.0	6334.0
SHANK1	3.0	50944.0
SHOX	3.0	6473.0
SLC6A1	2.0	6529.0
SLC6A3	3.0	6531.0
SPP2	4.0	6694.0
SRGAP3	4.0	9901.0
SSPO	4.0	23145.0
SYN2	4.0	6854.0
TECTA	4.0	7007.0
TERB2	4.0	145645.0
TPO	4.0	7173.0
TRPM1	3.0	4308.0
UNC80	4.0	285175.0
WDFY4	3.0	57705.0
ZNF517	4.0	340385.0
ZNF774	4.0	342132.0
ZNF804A	3.0	91752.0
